User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:53:56Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""}]",41b60b6b-e681-4f3e-b89a-ed1542c2918d,12b083cb-9dd7-4b25-958b-dffa5107c143,false,AwsApiCall,346446255745,Management
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:53:56Z,cloudtrail.amazonaws.com,UpdateTrail,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-346446255745-9f0c0906""}]",fd88be0e-5242-4eed-a357-44542104ffd1,2802e5b3-ebfc-41ab-8c77-c47b6cbc3961,false,AwsApiCall,346446255745,Management
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:53:56Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""}]",8ae5dbba-bd91-44b1-afa6-cf5955fa3073,92ecc4ff-bf20-4900-8ea3-5d6125a0fa9c,false,AwsApiCall,346446255745,Management
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:52:23Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""}]",07b06f8e-1a93-4d00-8a2a-cdfde7adc378,29150b56-f459-4dc8-b8d8-56f6a4b9d478,false,AwsApiCall,346446255745,Management
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:52:23Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""}]",264db3a4-2eb1-4f58-894d-d2bf150a1a52,5e8e2b04-3aa1-411e-86f6-f36d510df68f,false,AwsApiCall,346446255745,Management
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:52:23Z,cloudtrail.amazonaws.com,UpdateTrail,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-346446255745-9f0c0906""}]",39e6d00c-52d6-4142-a08b-60ebd72802ca,614286bc-45d9-4541-abde-2793699080aa,false,AwsApiCall,346446255745,Management
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:50:30Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""}]",8242c5b0-86f6-4ee3-8a6d-26fe4a086c1b,53618af3-2d0a-4e28-a98e-6d08e46892bf,false,AwsApiCall,346446255745,Management
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:50:30Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""}]",a73bd1fb-dfc8-46b3-af26-56f2b2315025,afdc98a3-ffce-409d-9947-c3cba2bd0cf7,false,AwsApiCall,346446255745,Management
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:50:30Z,cloudtrail.amazonaws.com,UpdateTrail,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-346446255745-9f0c0906""}]",c21ceb41-d3bb-4e7a-a13b-17138488eb3c,ef7b55ff-06c4-49f8-804a-1e86a9ae4cc1,false,AwsApiCall,346446255745,Management
CloudTrail,ASIAVBKOOK2A2VXNXPNK,2022-06-09T16:49:26Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:346446255745:trail/Udacity_Trail""}]",ad8b24ef-5086-4748-b1ff-d341c3e208aa,44fe98b5-8a30-4be3-b2ca-7a46beaf40cc,false,AwsApiCall,346446255745,Management
